公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
8D,3S,7C,6D,QC,360,8H,4S,9S,JH,1
QC,3H,JD,AS,5S,311,KD,6D,2D,QD,0
7H,AC,QH,2S,9C,97,2H,5S,6C,8S,1
8C,QD,5C,JD,6D,183,2S,JH,AS,7D,1
4S,4C,8S,TH,JD,499,9H,2S,5D,TD,0
JH,2H,8S,6C,4H,176,8H,KH,JD,9H,1
2C,JS,TD,4H,8C,207,5D,KC,KD,QH,0
9C,AC,3H,6S,5S,118,AS,5C,7D,3D,1
8D,9H,3D,KS,QS,270,7C,7H,3S,2C,1
9D,JH,9S,8S,AD,80,7S,2C,3H,8C,0
QS,JC,KC,JS,KD,373,AS,4H,7S,4D,1
6H,9H,AC,4D,KS,130,4C,2H,9D,6D,0
QS,3H,9D,JC,JH,177,5H,6C,AS,AH,0
2H,7D,AH,9S,KS,104,JD,2C,6H,QH,1
KH,AH,JS,6S,6D,241,8C,9C,8S,TD,0
6C,QC,2S,6S,9D,453,AH,7H,TD,AS,0
3H,KH,AH,2C,4H,152,6D,QC,6H,9D,0
5S,8C,QC,7D,5D,145,KC,AD,8S,2H,0
2C,9S,7H,9H,KH,125,AH,6H,JC,QD,1
3C,7C,4C,TS,TH,209,AH,8S,QC,KS,1
8C,5D,JC,7D,QD,185,4D,KD,4C,2S,1
3C,JD,8C,9C,JH,222,9D,TS,4C,7S,1
KS,8S,7D,JS,7S,357,QH,JC,TS,8H,0
AD,KS,8H,TD,2C,109,JS,KC,7H,AC,0
KC,5D,3S,KS,5C,276,JD,6C,7H,AS,0
6S,JH,TH,3S,JS,28,7H,QC,5C,9H,1
KH,KD,5H,8S,7H,345,7C,AS,JD,QC,1
KH,9D,8S,4S,9C,445,KC,6H,JC,AC,1
7D,8S,3C,5C,KH,30,QC,2D,JH,JS,0
AH,JD,TC,AD,7D,346,8D,AS,6S,AC,0
TH,3D,3S,5C,QH,81,6D,JD,9H,5D,0
6D,9H,7D,6C,KH,65,TS,TC,2D,8S,1
KS,8D,JD,5H,KH,385,3S,QH,4C,7C,1
QH,JS,AH,7H,9H,141,JH,5D,9S,7D,1
8H,2C,5H,8D,9S,489,KH,JD,4C,JS,1
KH,QH,7S,AH,JD,176,6H,9S,AC,2D,0
5S,AD,9C,9S,5D,165,TD,6C,6S,3C,0
4D,JC,TS,2H,TD,325,AD,9S,2S,3H,0
2S,7C,QC,2D,9D,389,6C,QH,KD,JS,1
3D,5C,TH,3C,2H,310,8S,AS,8H,4S,1
8D,JC,TC,QD,8H,398,TD,6S,KH,5H,1
9H,JS,4C,8C,3D,494,JC,QS,JH,JD,0
7H,KC,8S,QC,JH,349,KD,2H,TD,TC,1
4C,2C,3D,AC,5C,409,KC,6D,7D,QS,1
TD,5S,KS,6S,7C,89,KC,AS,2S,4D,1
6S,3S,4S,6D,QD,387,5D,JS,5C,8H,1
TH,2S,9C,5D,3C,391,JC,6D,7H,5H,0
TC,6D,8D,2C,4H,383,KC,7S,8C,2S,0
