公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
KS,QH,6S,AS,9D,410,5S,7D,6D,TD,0
JS,8D,7S,3C,QC,328,TS,9D,5H,JD,1
AH,9H,4H,7H,7C,445,6D,6C,6H,9C,0
3S,JH,2S,KS,5S,300,2D,7C,AC,KD,0
4H,4S,8S,AC,5S,419,9H,6H,3D,8H,0
5H,6S,7D,7S,8C,404,9S,3D,TD,5C,1
6D,5C,QH,2S,KD,343,QS,4H,8C,9S,1
6D,7S,3C,JS,8D,246,TC,4S,KD,5D,0
TH,9H,3S,JH,8C,176,6H,4S,3H,JC,0
TC,6D,7H,2S,7D,493,AC,8S,AH,4S,1
5H,4H,4S,8C,TC,279,8H,AD,6C,6S,1
2C,8H,2H,JC,9H,35,7D,AD,JH,TD,0
5C,JC,7C,KC,QS,45,9H,TD,QC,QH,0
7S,4C,QD,4D,7H,141,AS,JS,4S,9C,0
8D,7C,3H,9H,5D,311,KH,JD,2D,3S,0
KH,8S,3H,AH,4S,98,7H,TS,4D,7C,0
AC,JD,KD,TS,2S,88,8D,4S,QD,3D,0
9S,TD,8H,JS,8C,384,2H,QS,QC,6D,0
4H,AH,7C,6C,9D,473,2S,6S,4C,3H,1
7S,TD,8S,9H,8C,299,9D,KH,8D,3D,0
QD,2H,QH,4D,8C,157,9D,5S,AH,9H,0
6H,5H,7C,AD,9S,170,QS,8S,3S,KC,1
QC,2S,QH,5H,6H,26,3C,4D,KH,AD,1
5S,8S,8H,2S,6C,175,TD,AC,KS,3H,1
8S,6C,9C,2H,TS,273,TC,4H,2C,JC,1
7D,TD,4H,JS,KD,456,TS,QD,8S,AC,1
2S,9S,AD,JD,KH,129,3D,5H,TH,7C,0
2C,4C,2D,3D,6H,149,4H,TS,9H,JC,1
6S,4H,JD,QH,AC,115,6C,7H,2C,JS,0
5D,KC,AD,8S,7D,320,QS,4C,6S,TC,1
JH,4D,7D,2C,AD,407,3S,9C,TC,5C,0
QH,JS,8S,2S,9C,328,TS,7H,QS,2C,1
2S,TH,6S,5C,AD,430,7D,8C,7S,4H,1
3S,6D,AS,4C,QD,462,5C,TD,9C,KH,0
6D,4C,JH,QD,7D,207,QC,4H,JD,QS,0
5H,KC,8S,TC,QD,280,3S,8D,6S,9C,1
4C,2C,QH,4D,AD,126,5S,3S,8S,6C,1
7D,3D,JS,8S,QS,165,QD,5C,3H,QC,0
8C,5H,4H,JC,5D,97,9S,JH,AC,6D,1
AD,8S,4H,6H,JC,298,4S,TH,9C,4D,1
JD,AD,6S,5S,TC,447,7H,JC,9S,JH,0
QD,2H,5S,4S,5C,356,KS,QC,8S,QH,1
8D,9C,5C,JS,JH,266,4H,5H,6D,2S,1
9S,KS,7H,7D,9H,62,9D,AH,5D,6C,1
JS,4H,6D,5D,JC,250,QD,QH,5S,7H,1
6H,5H,3C,QC,9S,398,9H,3D,7S,KS,1
8C,6H,KS,7C,9S,85,QH,8H,4H,7D,1
2S,KC,4C,KD,JC,376,5S,JD,3C,QS,1
2S,6C,6H,9D,5C,135,AS,AC,7S,TD,1
8H,3S,QS,2D,TH,425,9H,7C,8S,4H,0
KC,6D,3C,TH,JD,33,2D,7H,TS,QC,0
QS,5D,JS,TS,QC,374,7H,AD,2H,5C,0
QD,5H,4C,3D,3H,428,2C,KC,4H,6D,0
TD,6C,9C,4C,5S,255,3D,KH,9S,4S,0
3S,4C,5H,8D,KD,370,KC,QS,9H,AS,1
KH,AS,JC,2D,AD,331,4H,3S,2H,JH,0
3S,5S,8D,6S,4H,408,5H,4S,TD,KS,1
6S,8D,KS,8H,TS,216,TH,TC,6C,6H,1
3C,7S,4D,5H,8H,244,4C,3S,JD,8S,1
7H,6S,2S,9S,3C,489,AS,AD,TD,TC,1
AD,6C,7C,8H,TD,334,6H,2S,TH,2D,0
5S,AH,2C,KD,7H,201,QS,4D,5H,5D,0
3H,JH,TS,QH,2D,21,3D,6H,TC,2C,0
3S,3D,JS,QS,4S,401,9H,8H,4C,JH,0
2S,QS,9H,8D,2H,337,KS,3H,3S,JD,1
AC,8S,AS,4S,2H,302,9C,3C,6C,JS,0
KD,2D,2C,5C,4S,268,7C,8S,AS,9C,0
QD,KC,AD,6S,4H,303,5H,3D,KH,6H,0
2C,2H,6H,9C,5H,464,4H,TH,4S,JS,1
7D,JC,TC,5S,TS,288,5C,AS,KH,9S,1
7D,5S,2D,6S,8H,27,7S,3H,JC,3S,1
6D,2H,TS,6C,8S,133,7C,8C,5H,4S,1
JS,4C,8S,AH,6S,437,4S,JH,7C,7H,1
5H,6C,QD,AS,2D,351,5S,3S,KS,2C,1
8C,AD,5C,TC,2D,291,KC,JH,JD,QC,1
4C,9S,JH,8D,JS,106,9H,TC,2D,4D,1
8C,TS,3C,3S,4C,252,2C,JC,4H,5H,1
7H,2D,KC,TC,JC,79,3S,AC,JH,KS,0
QH,8D,5H,4H,2S,239,AS,5C,9S,7D,1
8D,QH,6S,8S,2C,177,9S,2S,JS,7H,1
JH,TH,KC,3H,8H,310,KH,6D,KS,5C,1
QS,KH,4C,KC,2C,432,8H,QC,AH,JD,1
QH,6H,3S,8C,8S,412,8D,4S,TC,3D,1
2S,7C,3C,JS,AC,94,9H,9C,9S,JH,0
7S,AD,AH,9H,QS,352,6S,3D,TD,JS,0
3S,3D,5H,JD,2H,73,9D,7C,7S,6C,1
5H,5D,9H,QS,3S,208,2S,KC,7D,9C,0
5S,TS,TD,KS,7D,483,7H,QC,8C,7S,0
AC,9S,6C,KH,KC,184,7D,9H,3S,2D,1
AC,JH,6H,8D,KH,297,TD,QH,4S,7D,1
3H,JH,AS,5D,3D,402,KD,5S,TD,KH,1
JD,3S,3C,6D,5S,476,9H,7S,AH,AC,0
3H,4D,6H,8C,4C,410,9D,KS,5D,3D,0
5S,5D,3S,2D,AH,47,9D,6S,AD,7C,0
JS,8D,5D,3H,JD,290,QS,KS,9D,8C,0
QC,AH,7C,AS,7D,415,9C,QS,5C,6H,1
QC,3S,7C,AC,TD,167,7S,KH,6C,KS,1
6D,3C,6C,3S,TD,144,AS,8S,9D,3D,0
7C,7D,3D,2S,5H,138,4C,4D,QS,2H,1
2D,TC,7S,JC,AH,177,5C,2C,4C,9S,1
QH,TH,5C,7H,9S,271,TC,JS,KS,3H,1
4S,5H,JH,9D,6S,38,QS,2C,QC,5D,0
KH,2C,3H,QC,QH,396,QS,8C,5S,4S,1
5D,6S,2C,9H,5S,145,JD,6C,5H,8D,0
6S,KH,KC,AC,7C,334,7H,4S,3C,8S,1
JS,AD,6C,JD,8H,456,3S,TD,4S,5H,1
QH,AC,4C,9C,5S,55,QC,5H,2C,7D,1
5C,4S,5H,QC,QS,31,2C,9S,JS,7H,0
4S,2S,JH,3D,7H,45,7C,8H,6D,TC,1
4S,7S,4C,2D,3D,39,JC,8H,7H,5C,0
QS,6H,7H,KD,TS,435,KH,9C,KC,JS,0
TH,8H,AC,7H,2D,290,3S,9H,JC,4H,0
7H,JS,2H,AC,3S,161,8C,6S,8D,KS,0
9H,4S,5D,AS,6C,305,4C,TH,7C,8D,0
3D,6H,9S,7S,QH,184,3H,4D,2C,8H,1
6H,KD,4S,KH,7H,61,JD,AD,AC,JC,0
8S,9H,7C,QS,5D,64,KS,2C,9D,TC,0
KC,8H,6S,8C,TH,397,2H,QS,5C,7S,1
6H,6C,JC,TH,QD,82,5C,3S,3C,9H,0
8C,5C,7C,JC,6D,357,5H,2D,TS,KS,1
KH,5S,AH,6H,4S,133,7C,2D,9H,QD,0
AC,QD,7C,5H,TH,62,JS,3C,QS,9S,0
7H,3D,2S,8D,2H,170,8S,9C,5D,5H,1
4D,AH,6H,KC,7S,467,2S,7C,JH,QH,1
6H,7D,TH,AC,2D,158,5S,QC,KD,JD,0
QH,5D,5H,AD,6H,459,AC,3D,7H,6S,1
KC,AS,8S,AD,4H,167,6C,6H,9D,TC,1
JS,3D,TC,9H,2S,120,4D,5C,KH,8C,0
9D,TS,6H,JC,8S,145,QH,QC,TC,KH,1
7S,AH,2S,3C,JH,272,KC,AD,5C,5D,1
3D,7D,QH,6S,3S,449,KC,2S,6H,8S,0
AD,7H,KC,QS,2S,410,6H,4S,8H,TH,0
KC,3H,5S,7D,QS,346,6C,KH,TS,JH,1
5S,JH,4H,QS,8C,281,9C,8S,2D,3D,1
8D,9D,7S,5H,3C,96,KH,2S,QD,AD,0
8H,QD,9H,9D,5S,443,4S,QC,6S,KD,1
AC,QH,5D,6D,4D,222,7C,5H,TD,QC,0
KC,6S,8C,3C,8S,379,7H,KH,AC,3H,1
TD,7H,5C,8H,KC,380,3D,JC,JS,6H,0
6H,TC,TD,3S,4S,124,QS,5S,9D,KH,0
KS,5S,3H,4D,8H,125,KH,6H,TS,JH,1
8H,AH,6S,5C,TS,343,9D,AD,2D,KD,1
8C,8D,8H,AS,TD,303,3D,6H,9H,2H,0
QS,5C,5H,4S,7D,382,5S,8S,3H,KD,1
KH,2H,9S,2S,QD,307,9C,8C,4S,9D,0
KS,8H,5D,9S,8S,366,KC,AH,9D,JC,1
3S,7D,8S,JS,5D,282,3C,TC,8D,JH,0
AD,7D,2S,QH,KS,259,9C,9H,3S,7C,1
4D,KD,JC,7H,4S,193,2H,5D,QD,5S,0
4C,AC,7D,5D,QC,179,7H,9D,QD,QS,0
JS,JH,TH,6C,7C,200,3H,TD,5C,KH,1
6S,9D,5H,JD,8S,407,2S,TD,QD,AD,0
5H,JS,9S,AC,TS,56,2C,7C,AH,6C,0
KS,7S,3S,9H,2D,202,JS,3H,AD,TS,1
AH,4H,AD,JC,QD,19,JD,KD,AC,6C,0
QH,KS,7S,3C,JC,272,QD,5C,6H,3D,1
KC,QH,7C,JS,5H,71,3S,TD,TS,3D,0
TC,5D,AS,JH,8D,231,4D,AH,KC,4C,1
AD,5C,8C,6H,3D,168,3C,8S,8D,4S,1
JD,9S,AC,KD,JC,431,KS,9D,4H,5C,1
2S,AC,TH,8H,6D,315,2H,4S,6H,TS,0
7H,QS,2H,9D,5H,113,JD,JS,KH,5S,1
3C,9C,QC,5D,2C,446,KH,6H,6C,AC,0
TD,3S,KD,6H,2S,164,7D,AD,9H,6S,0
2C,QC,8H,4C,AC,371,TS,AH,2H,JH,1
AH,8D,3S,2D,9S,86,4H,6H,7H,JC,0
TC,3S,KS,5H,QC,500,QS,7S,QD,9D,0
9C,7C,8H,JC,2S,425,4D,6H,AH,JH,0
3S,9S,7H,QC,4D,157,KH,8D,8H,TH,1
9H,JD,TD,3S,5D,181,3H,5C,2D,TC,1
7H,4S,TH,QS,AD,305,9C,5D,JC,8C,0
3H,4S,4H,TH,7S,234,6D,9S,AD,3S,0
KS,5H,9H,6S,AH,16,8C,2C,8S,2H,0
JH,6C,QD,7D,JD,102,TH,3D,TD,JS,0
4C,5D,TC,3C,JC,430,9S,4D,8H,8D,0
TC,3S,2D,JH,5S,152,6C,TH,8D,KS,1
KC,2C,3C,4H,TS,410,5H,KH,3S,AS,1
AD,3D,8H,KD,7D,305,4H,TS,QD,8S,0
TC,AC,QH,JC,JD,346,9D,2H,5C,9C,0
3S,3C,QH,JH,4C,319,8C,KH,TD,7S,1
TS,2D,QC,AD,KS,324,TC,8C,9C,KC,0
QS,5C,2H,JH,4H,474,QD,AH,4C,TC,1
JD,7H,3H,6H,AD,81,5S,TH,6D,6S,0
9H,3C,9C,8H,6S,298,8S,2D,JC,6H,1
7H,8C,KH,3C,AS,467,QD,6D,5C,QH,0
7C,AH,7D,3C,6H,367,TH,6C,JS,3D,1
3S,2D,9H,6H,JS,105,4C,5D,7H,5S,1
6D,AH,4C,KH,9C,146,7C,8D,5D,QH,0
2S,QS,KS,7C,3H,250,2D,9D,4H,KH,0
7H,TD,JH,TC,5S,45,KS,3S,3D,AH,0
3S,6C,4D,TD,QH,295,9S,7S,7C,TH,0
9D,9H,3H,KH,KS,146,8S,2H,6D,QS,0
7H,8H,9S,JS,QH,322,QC,TH,8S,2C,1
QS,6D,8D,TC,7H,76,4C,9D,9H,7D,0
3H,3C,5H,5D,KH,223,9H,2H,AH,2C,1
QC,JS,5C,6C,QS,167,2H,2C,QD,8S,0
4S,AH,8C,7H,4H,293,7C,2C,AS,5D,0
7H,9H,9C,5H,JS,223,QC,6S,TC,9S,0
QH,AS,9S,QS,2C,162,QD,5S,6H,8H,1
9S,QC,4C,7S,5S,477,8S,KC,6S,TD,1
KH,5C,JS,7H,9H,317,2C,2D,QH,4C,1
7S,KS,4D,6D,9S,39,8S,5S,6H,6S,1
6S,TC,JD,3H,AC,128,8H,7C,AD,5S,0
8C,TS,9S,JH,4C,387,5H,KH,KD,9D,0
5H,QS,6S,JC,TS,130,2S,6H,JS,2H,0
6D,TC,3D,AH,4S,283,TH,6H,4H,QS,1
8H,9S,9H,2D,3C,242,KH,4C,JH,QS,1
5H,7H,9C,JS,2C,83,TD,7D,2S,9D,0
KH,9C,KS,2C,AH,168,2S,8C,TH,5D,1
4C,TD,9D,KH,2S,162,TC,KC,8D,6S,1
2C,AH,TD,KC,8H,282,2H,7S,9H,JH,1
QD,7H,5C,QC,9D,350,TH,6S,8H,4S,1
KS,TD,8H,2H,7C,264,2C,2S,JH,9S,0
TD,3S,8S,4S,2C,122,6D,AD,7H,6S,1
2S,7D,7C,KH,2H,297,TS,TC,QH,2C,0
4H,AD,JS,JD,5S,160,4S,4C,9D,KD,1
QC,TD,7D,KC,5H,275,7S,7H,5C,4C,1
6C,7H,4S,KD,2H,44,4H,QC,7S,QH,0
AC,QH,7D,QS,QD,326,8S,3D,8H,JS,0
AH,QH,JH,4H,QC,162,AC,9C,QS,7S,0
6H,TC,JS,AH,TH,224,3D,TD,5C,9S,1
AC,3S,4S,5S,4H,471,6D,3H,8C,3D,0
6H,8S,KH,KS,AS,226,4C,JC,6S,2C,0
2C,JC,3S,5D,8C,21,7S,5S,KS,AS,1
4D,JH,4S,AH,5H,255,KD,QS,QD,JC,0
3H,4C,4D,9C,KS,287,KD,3S,JD,KC,0
JH,3D,TD,5C,JD,172,TS,9D,6D,9S,1
2C,QD,3S,6D,AS,338,8D,5D,9D,TH,0
TS,QD,2H,3D,6H,449,AH,2S,TH,9S,0
KD,6S,5D,JD,4S,244,5H,9C,QD,AD,0
KH,6H,8S,JS,9H,101,3C,3D,JC,AS,0
2S,6S,JD,KC,3D,95,7S,9H,3C,3H,0
JD,2H,8H,8C,KS,383,2C,TD,9S,7C,1
7D,4C,4D,2S,8D,17,3C,6C,5H,9S,0
7H,JC,2S,AC,JS,369,JD,9C,8D,2C,1
6S,9H,3D,5C,2H,76,2S,5D,QH,5H,1
6C,JC,KD,7C,JS,322,QS,6H,9D,2S,1
2S,7H,5H,8H,QC,257,3D,6C,4S,7S,0
7S,9C,6D,5S,QD,481,7C,8C,JD,9S,1
2C,KS,5H,QH,3H,322,AH,7S,TC,4H,1
9H,JD,AH,8S,AS,72,3D,9D,6S,JH,0
KD,TD,QD,TS,8S,491,KH,2C,QH,4C,1
4C,6C,KH,8C,2D,75,3C,9H,AS,AD,0
JC,5S,4H,AS,6D,38,9D,QS,8S,7C,0
7S,TH,AC,KC,KS,141,KH,AS,AD,6S,1
5H,KD,6D,TS,8S,338,4C,JC,AD,2H,0
KC,AD,JC,9S,8D,303,9H,TC,6D,AC,0
AD,JS,8C,7D,4S,332,7H,6S,2C,5S,1
7D,4S,8S,2H,8D,387,KD,6C,2S,5C,0
9D,AC,7S,6D,7D,163,4C,JD,TD,QD,0
KH,9D,AC,7D,4H,499,2H,AH,TC,QS,1
4C,7D,2H,4H,2C,332,5H,JD,TH,6S,1
QH,8H,7D,2H,4D,106,6H,JH,4S,TD,1
AS,AD,JH,3S,6H,180,9C,TS,AC,QC,0
7C,9H,2S,QH,AD,133,TS,JC,KD,QC,0
JH,7C,7H,AS,9H,137,9C,3D,KD,5H,1
7C,TD,8H,7H,2S,221,QC,KS,KD,4D,1
8C,5C,9S,2H,4S,223,3S,6H,QC,TH,1
JH,KD,AC,9S,8C,465,9D,TC,7S,JS,0
3D,JD,2S,8C,7D,494,KH,6S,4D,5H,1
AS,6C,3H,KC,JC,274,3S,7H,TH,8D,1
8S,4D,QD,5C,KS,66,6H,QC,AD,9C,1
5D,KC,9H,AS,JC,33,7D,7S,2C,3D,1
QS,2S,QH,JD,7D,220,AS,4H,JC,TH,0
7C,AD,2S,QS,2H,462,QC,JS,3S,AS,0
4D,TD,3D,3H,9S,123,QH,5S,3S,5H,0
TC,4S,3C,5C,2S,235,JD,AD,TD,9C,1
6C,3S,JC,7H,5D,233,4C,2H,JS,AS,1
6H,TH,KC,2H,5H,324,4S,7H,QS,KS,1
3H,6C,5D,6S,QC,145,7C,8S,4C,QS,0
6S,5S,2D,6D,2H,479,9D,TC,AH,KD,0
QD,4S,3S,AC,TC,282,9C,QC,5D,KH,1
KC,JC,TS,KS,QD,295,AH,3S,AS,5D,0
3H,7S,KD,2C,9H,243,8C,JC,6H,2D,0
TS,2S,JS,8H,6H,132,3H,4H,QS,8C,0
TH,9H,7C,8C,8H,215,AD,7S,JS,4D,0
AC,7H,5D,8D,JH,126,6H,5S,6D,JC,0
8H,6C,3D,6S,8S,270,7C,8C,3S,5S,1
3C,JH,3S,TH,KD,185,5C,JD,TD,5D,1
6C,4D,5H,JC,JD,448,7C,2C,7S,AS,0
JS,5S,2H,9C,8C,449,TS,QD,KC,8D,1
QS,7H,5D,KC,4D,476,QH,2C,3C,TD,1
2C,6H,9H,4C,2H,448,4H,AS,4D,9S,0
8C,QD,5D,7S,JC,477,7C,AC,3C,3D,1
AC,TS,KS,KC,8C,33,5C,4H,AD,JD,0
7D,4D,QC,3S,QD,61,4S,5D,TS,3H,1
JD,9S,QH,4C,6C,449,JS,JH,5H,7S,1
3S,QH,8C,5H,7C,355,5D,QS,7D,AH,1
3H,AH,6H,AC,KC,305,7H,8S,KS,9D,0
4C,3D,9C,TH,7D,359,KS,4S,TS,6C,0
5D,QS,4D,3D,7H,61,4C,7D,8H,2H,1
QS,AH,3C,4S,TD,355,7D,9S,4D,4C,0
TH,8S,4C,6H,2D,80,7D,TC,QH,JS,1
6S,9C,3D,7S,QC,108,5D,7H,4D,6H,1
KH,8D,5C,TD,AH,180,AC,5D,QD,9H,1
KS,TH,TS,JC,4D,308,TD,7S,AD,KD,1
QH,JH,QS,KC,4D,417,7C,3D,2C,3C,1
TD,KD,5D,9C,4C,432,2D,5S,9D,6H,0
3H,3S,JC,QD,JH,65,TH,TS,AC,9H,1
7C,7S,6H,KD,2C,67,QD,KS,4S,5D,1
4H,AC,6C,3S,8C,112,TH,JS,4D,8H,0
QH,6D,KH,QD,5C,343,TD,8S,8D,7D,1
3D,5H,AC,6C,6S,271,4S,5S,6H,KS,0
8S,AS,4C,9S,6H,200,QH,3C,TS,KD,0
3C,9H,TC,AH,6C,410,7C,7S,2C,6D,1
QH,TC,3C,9C,KS,385,2H,8C,QS,JS,0
5C,9C,8C,4D,KH,127,3S,7S,3C,3D,0
4S,2H,QH,6C,5H,268,KS,8C,KC,6D,0
5C,AH,8H,9C,2S,165,5D,AD,QD,5H,1
3S,KH,JD,8D,TS,304,JS,6S,8C,AH,1
7S,5S,AS,JH,4C,226,9S,KH,TD,7D,0
AH,2H,AC,KD,9S,465,2D,TS,7D,TD,1
QC,QH,AC,4D,7S,132,2D,2H,8S,JH,1
2H,6D,KD,5S,9D,409,QC,JH,4C,9S,0
5D,2D,AC,3C,6S,457,2S,9S,6D,2H,0
5H,4H,5D,KH,TD,76,8C,JH,5S,3H,0
7S,3H,5S,7H,8D,254,9S,KS,3S,KD,0
QC,4S,9D,3S,3D,352,JD,TH,7S,8C,1
7C,KD,8D,TS,4D,202,2D,JS,8C,KS,0
8C,QH,8S,7C,QD,160,5C,5H,JS,KS,0
4H,9C,2H,6S,QS,376,7D,2C,5C,3C,0
QH,KH,6S,QC,2S,315,JC,4D,9S,AD,0
8S,5C,7C,TH,6D,348,2D,KC,KD,9H,0
TC,JS,9H,KC,3D,291,4C,AD,7H,7S,0
KS,KH,5C,JS,2D,136,5H,KD,AD,TS,1
6C,AD,KC,AC,2S,173,4H,4D,JD,AS,0
8S,6C,JD,QC,9H,406,3C,4H,AS,3D,0
AC,KS,7H,JC,7D,38,JD,3D,4S,7C,0
TH,2C,QH,JC,QD,377,QC,TC,8C,7H,1
QS,KC,QD,8H,3H,85,6C,JS,6S,3S,0
6S,KD,8S,TC,4H,322,8C,AH,9S,JH,1
4C,JD,9S,QC,2C,216,TD,KH,6D,KC,1
6S,8C,JD,7H,TC,200,5S,2H,TH,9H,0
4H,QD,TS,TH,AS,187,AD,5H,TD,3C,0
8S,TC,3H,2H,JD,200,8D,6C,QC,9H,0
2H,3S,5D,6H,7C,231,JH,9C,9H,6D,0
KS,9H,2D,6S,6H,242,QC,3H,4H,7D,1
9D,TS,8D,3D,JC,139,5C,5S,3S,QC,0
9C,4S,KD,JC,2C,242,9D,5D,6D,8C,1
AD,6H,8D,5C,3S,340,8H,6C,8S,QD,1
